result.match_id,result.radiant_win,result.duration,result.player_1_hero_id,result.player_2_hero_id,result.player_3_hero_id,result.player_4_hero_id,result.player_5_hero_id,result.player_6_hero_id,result.player_7_hero_id,result.player_8_hero_id,result.player_9_hero_id,result.player_10_hero_id,result.player_1_gpm,result.player_2_gpm,result.player_3_gpm,result.player_4_gpm,result.player_5_gpm,result.player_6_gpm,result.player_7_gpm,result.player_8_gpm,result.player_9_gpm,result.player_10_gpm,result.player_1_epm,result.player_2_epm,result.player_3_epm,result.player_4_epm,result.player_5_epm,result.player_6_epm,result.player_7_epm,result.player_8_epm,result.player_9_epm,result.player_10_epm,result.player_1_kills,result.player_2_kills,result.player_3_kills,result.player_4_kills,result.player_5_kills,result.player_6_kills,result.player_7_kills,result.player_8_kills,result.player_9_kills,result.player_10_kills,result.player_1_deaths,result.player_2_deaths,result.player_3_deaths,result.player_4_deaths,result.player_5_deaths,result.player_6_deaths,result.player_7_deaths,result.player_8_deaths,result.player_9_deaths,result.player_10_deaths,result.player_1_assists,result.player_2_assists,result.player_3_assists,result.player_4_assists,result.player_5_assists,result.player_6_assists,result.player_7_assists,result.player_8_assists,result.player_9_assists,result.player_10_assists
1885069276,TRUE,3038,4,70,43,100,68,67,41,30,73,86,522,436,545,496,376,490,434,294,731,218,640,530,640,641,509,640,526,313,640,247,7,13,16,21,8,12,14,9,8,0,8,11,7,8,10,6,13,17,14,15,12,13,18,17,21,22,11,18,17,19
1885069277,FALSE,1576,13,95,47,73,52,14,53,25,36,28,292,287,300,343,338,522,397,670,485,515,293,299,269,298,333,494,279,625,367,400,3,4,4,0,4,8,2,7,6,11,2,9,6,10,8,3,5,0,3,4,7,1,5,2,2,11,4,13,6,10
1885069278,TRUE,3022,28,21,52,74,112,5,56,1,14,86,333,514,311,508,286,372,587,552,274,369,463,647,395,664,302,487,671,643,292,549,3,22,4,18,8,8,25,8,4,6,10,10,15,7,11,11,10,6,22,13,17,15,26,17,16,30,11,13,11,15
1885069280,TRUE,3270,102,86,21,11,44,22,41,33,29,50,240,261,406,637,483,284,415,420,287,230,341,322,427,595,600,341,438,530,437,335,0,1,7,17,9,9,10,6,4,2,6,9,6,6,5,7,7,4,9,9,12,13,12,10,12,15,10,5,11,10
1885069281,FALSE,3094,5,46,4,68,74,41,102,30,44,76,354,426,377,358,362,577,327,316,464,546,488,634,457,519,508,628,460,378,635,631,7,13,10,9,5,19,4,8,12,17,16,13,14,9,9,9,11,14,5,9,22,10,7,18,10,11,12,20,20,19
1885069282,FALSE,3134,104,84,56,68,34,74,53,41,9,29,414,209,268,223,295,541,801,341,365,270,475,265,349,262,371,618,621,341,476,332,4,2,2,0,7,15,15,4,5,1,7,8,7,7,11,4,0,6,2,4,5,5,2,3,5,10,8,4,14,7
1885069283,FALSE,2892,68,40,21,44,43,35,16,74,41,25,317,391,399,480,348,457,310,392,545,545,362,438,444,628,430,612,352,486,660,672,2,6,9,14,10,9,1,5,17,14,8,9,9,9,12,6,12,6,10,9,19,13,2,14,10,19,13,16,12,10
1885069284,FALSE,1881,23,34,101,88,93,9,54,48,22,25,422,414,266,683,241,349,599,565,447,226,371,226,259,233,227,276,532,528,499,92,1,6,2,3,2,2,4,10,6,1,2,7,6,5,5,1,0,6,1,7,0,5,2,2,3,9,5,6,9,0
1885069285,FALSE,1830,1,53,95,47,55,12,76,69,63,48,367,327,306,378,299,452,473,492,554,781,469,366,450,407,244,421,444,409,548,867,3,1,4,7,3,2,8,1,12,18,7,6,11,9,9,4,5,6,3,1,6,8,2,6,6,6,1,8,3,13
1885069286,FALSE,3871,89,67,2,72,8,46,81,106,3,58,366,355,398,395,359,340,531,576,332,481,473,502,502,511,437,358,503,502,503,510,5,9,10,8,16,5,17,20,9,11,10,15,14,10,14,14,9,15,10,2,15,17,18,20,13,14,21,14,23,17
1885069287,FALSE,3255,29,95,9,35,105,102,36,45,59,103,283,385,297,364,234,441,491,442,349,383,438,513,387,488,269,508,608,523,359,542,5,16,8,8,8,3,12,15,13,3,4,14,13,9,10,3,2,15,20,6,15,6,15,9,16,8,15,10,6,12
1885069288,TRUE,3232,62,73,25,59,57,35,104,67,70,100,722,387,375,454,415,438,275,553,646,388,611,384,398,569,547,601,266,601,601,581,22,2,5,14,9,6,3,15,38,8,12,12,17,18,12,13,7,12,10,12,11,9,8,12,4,27,13,21,14,20
1885069289,TRUE,2355,83,74,21,67,104,8,88,27,14,19,275,429,491,474,697,466,334,323,332,320,263,428,554,463,824,567,476,357,437,368,0,9,9,6,15,6,9,5,5,9,8,9,7,8,5,4,9,9,8,10,11,7,13,17,9,6,15,11,16,8
1885069295,FALSE,2289,83,88,19,12,60,22,71,7,74,67,434,172,612,378,405,455,386,313,418,543,175,132,615,496,477,505,467,300,442,742,1,1,7,5,11,15,6,4,13,12,10,11,10,10,10,6,5,4,11,2,5,2,3,8,7,20,22,14,16,22
1885069368,TRUE,2792,73,89,31,23,64,36,7,42,44,81,614,296,645,351,503,368,324,307,374,368,469,260,702,424,701,467,380,351,470,435,5,2,34,5,11,13,8,8,9,11,9,17,5,9,10,11,13,10,10,14,12,5,21,18,35,21,19,15,17,10
1885069401,FALSE,426,4,11,15,40,41,38,102,83,48,20,138,138,138,138,138,430,433,369,379,359,0,0,0,0,0,94,66,62,62,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0
1885069297,FALSE,2429,59,8,25,32,44,70,46,47,41,62,312,428,186,481,266,598,353,725,188,552,345,557,207,644,300,810,356,800,59,604,8,10,1,18,3,27,2,30,2,14,14,14,22,8,18,6,15,5,5,10,8,10,9,8,9,7,16,13,0,10
1885069298,FALSE,2881,4,9,21,31,74,19,60,85,12,53,481,362,399,239,361,436,416,363,500,560,557,448,463,298,493,471,458,420,574,547,16,9,9,3,3,11,17,5,12,9,12,11,9,14,9,10,13,4,8,7,9,12,12,9,24,19,14,16,7,15
1885069299,FALSE,3374,76,34,5,94,26,23,21,14,16,44,451,305,271,444,292,603,454,468,347,566,591,439,349,531,402,581,583,576,392,587,7,7,7,10,5,13,8,15,0,17,13,13,10,8,13,10,1,10,11,6,12,11,15,16,11,18,13,16,21,23
1885069300,FALSE,4004,71,105,8,97,68,77,83,87,110,32,329,448,294,412,363,523,305,469,356,727,432,504,287,469,491,485,311,491,298,498,15,33,6,2,14,18,0,6,2,38,15,18,18,13,15,7,12,24,18,12,12,11,12,16,20,4,11,22,14,8
1885069301,TRUE,3829,73,53,36,11,64,69,67,68,102,22,854,672,360,555,226,539,527,381,381,528,507,513,414,508,229,513,508,507,507,514,14,4,9,9,0,18,9,8,7,20,13,8,13,12,19,6,9,5,7,9,10,17,5,9,7,22,28,16,17,20
1885069303,TRUE,1947,12,70,44,87,72,67,104,76,59,100,518,583,669,443,561,414,186,298,213,210,475,655,755,499,601,412,168,359,229,238,10,19,17,8,7,12,0,1,0,0,5,6,1,2,2,15,11,8,10,17,15,7,13,16,15,3,3,6,2,10
1885069304,FALSE,2575,60,112,74,6,64,68,88,86,54,78,369,274,294,357,150,396,434,309,396,496,452,292,364,391,107,430,591,346,544,574,11,0,2,6,1,14,14,2,8,19,10,14,8,16,9,4,5,7,2,3,4,3,4,4,2,17,15,12,13,10
1885069305,FALSE,3610,103,88,74,73,110,7,56,109,105,68,282,305,368,433,245,391,520,591,303,300,360,440,424,418,338,508,538,539,332,370,6,8,9,4,2,5,13,12,8,7,5,7,8,13,12,6,5,5,5,9,10,9,9,6,13,17,4,10,7,14
1885069306,FALSE,3156,82,9,28,105,2,60,44,5,86,98,318,345,339,286,316,383,638,349,305,350,616,400,458,283,350,556,617,499,507,508,6,12,11,16,7,14,32,12,3,5,11,18,17,10,14,10,11,13,9,13,17,19,15,4,18,18,22,25,18,18
1885069317,FALSE,3561,73,25,9,8,100,57,93,69,11,74,888,393,291,532,316,320,543,519,647,474,546,530,484,547,422,362,546,546,546,546,9,15,3,10,9,4,13,3,17,9,6,10,7,14,12,13,7,7,9,12,21,16,21,14,18,13,25,30,10,24
1885069318,TRUE,1982,36,62,11,1,57,90,2,94,28,65,486,567,536,514,392,225,259,294,214,200,450,434,478,555,451,188,228,272,192,233,12,8,13,8,2,1,4,1,2,0,1,1,3,3,0,10,9,10,9,7,21,14,18,11,16,4,2,3,2,3
1885069319,FALSE,3394,26,53,2,21,10,42,70,110,82,14,248,665,362,434,287,508,661,525,591,380,278,576,453,564,358,572,573,576,572,419,5,2,10,15,3,11,25,13,5,5,16,12,10,7,14,8,9,3,9,15,5,19,10,16,15,16,15,13,15,18
