id,name,carry,support,nuker,disabler,jungler,durable,escape,pusher,initiator,winrate,xpm,gpm,kills,deaths,assists
0,,0,0,0,0,0,0,0,0,0,0.422222222,0,164.3333333,0,0,0
1,Anti-Mage,3,0,1,0,0,0,3,0,0,0.466156563,531.5968217,497.4696881,7.367863449,6.439081813,7.560918187
2,Axe,0,0,0,2,2,3,0,0,3,0.450604122,439.3468372,396.8343994,8.6851457,9.734186212,11.03198294
3,Bane,0,2,1,3,0,1,0,0,0,0.461052632,367.0842105,311.0610526,5.671578947,8.166315789,11.63368421
4,Bloodseeker,1,0,1,1,1,0,0,0,1,0.45942029,473.2717391,428.6007246,9.994927536,9.705797101,9.654347826
5,Crystal Maiden,0,3,2,2,1,0,0,0,0,0.565881604,372.5926162,326.8682368,5.474220242,9.236791852,14.46212603
6,Drow Ranger,2,0,0,1,0,0,0,1,0,0.512905912,457.5903414,428.5303913,7.181515404,8.669442132,7.893422148
7,Earthshaker,0,1,1,2,0,0,0,0,3,0.505191874,391.7191874,342.2577878,5.681264108,9.004514673,15.59097065
8,Juggernaut,2,0,0,0,0,0,1,1,0,0.51369863,511.9478398,469.2734457,9.357744995,7.616438356,8.639620653
9,Mirana,1,1,1,1,0,0,2,0,0,0.531065089,418.3897929,379.2914201,7.380177515,7.420118343,12.52292899
11,Shadow Fiend,2,0,3,0,0,0,0,0,0,0.510689794,544.6849536,512.1637757,10.27511093,7.949576442,10.28075837
10,Morphling,3,0,1,1,0,2,3,0,0,0.396995708,452.6030043,407.5321888,7.375536481,6.856223176,9.557939914
12,Phantom Lancer,2,0,1,0,0,0,2,1,0,0.482728078,471.1160319,419.4065545,7.550044287,7.439326838,9.887511072
13,Puck,0,0,2,3,0,0,3,0,3,0.421259843,443.6614173,383.9744094,7.94488189,8.683070866,13.9488189
14,Pudge,0,0,1,2,0,2,0,0,2,0.505198181,435.3732943,367.9639376,10.06432749,9.557504873,12.2251462
15,Razor,2,0,1,0,0,2,0,1,0,0.460504202,445.1647059,404.6117647,8.319327731,8.36302521,11.73613445
16,Sand King,0,0,2,2,1,0,2,0,3,0.508813161,428.4324324,372.479436,6.089306698,8.527614571,14.90364277
17,Storm Spirit,2,0,2,1,0,0,3,0,1,0.434108527,472.9246955,406.8084164,8.42192691,8.301218162,12.18604651
18,Sven,2,0,1,2,0,2,0,0,2,0.552093476,466.3008763,434.6962025,7.976630964,8.367088608,10.9104187
19,Tiny,3,0,2,1,0,2,0,2,2,0.483496878,470.0044603,429.0553078,8.5941124,8.414808207,11.88135593
20,Vengeful Spirit,0,3,1,2,0,0,1,0,2,0.555427252,390.408776,348.6535797,5.354503464,8.697459584,13.71247113
